panel,signal,vehicle,estimator,gate,start,days,Sharpe,Martin,MaxDD,CAGR,RealVol,|vol-target|,TrackRMSE63,Turnover/yr,MeanW
P1 1x,EEM,EEM,E0 EWMA c2c,none,2009-04-17,4373,0.19587753324500826,0.25501598109047685,-0.25872210844922594,0.0291622167987462,0.10169099617941914,0.0016909961794191325,0.01318379384705337,2.0254702553168156,0.5355350439573736
P1 1x,EEM,EEM,E0 EWMA c2c,trend,2009-04-17,4373,0.23379039882523447,0.28737227483532324,-0.18708180835538823,0.02931092103722599,0.07606968360005704,0.02393031639994296,0.058329185100141324,2.4281465388933805,0.31245383514256037
P1 1x,EEM,EEM,E1 Yang-Zhang 21,none,2009-04-17,4373,0.23634376961446826,0.28711449923945487,-0.2722444053030315,0.034269332411793085,0.10805042374643231,0.008050423746432306,0.01551122410388451,2.3732993726376046,0.5693063775302308
P1 1x,EEM,EEM,E1 Yang-Zhang 21,trend,2009-04-17,4373,0.28015504777804273,0.31694714674581753,-0.1967135848920889,0.034032520817986134,0.08128365717254075,0.01871634282745925,0.058281691534493085,2.6932986248565767,0.3332180982302878
P1 1x,EEM,EEM,E2 Parkinson EWMA,none,2009-04-17,4373,0.22001836994607474,0.22051689787781328,-0.38687367710424725,0.03684321817306446,0.1567643993673561,0.05676439936735608,0.06132247940755481,1.4440074248046848,0.8111861933282959
P1 1x,EEM,EEM,E2 Parkinson EWMA,trend,2009-04-17,4373,0.24708589446875542,0.24746747406126005,-0.2647343377290078,0.03612426745144681,0.11270485325974774,0.01270485325974774,0.06645578837021397,2.7331056942408463,0.4604201590951635
P1 1x,EEM,EEM,E3 K-ATR fast,none,2009-04-17,4373,0.1803770807434818,0.1601635517249016,-0.4133078034747344,0.029876597221170975,0.1398539658501558,0.0398539658501558,0.041576792090708775,11.255473931457816,0.7525396045022077
P1 1x,EEM,EEM,E3 K-ATR fast,trend,2009-04-17,4373,0.23969898005586304,0.23616846080731993,-0.23947922969461233,0.03398827227275025,0.103322162422441,0.0033221624224409885,0.06105149591646303,7.444569462347152,0.4365518525465129
P1 1x,EEM,EEM,E4 Yang-Zhang EWMA,none,2009-04-17,4373,0.23504082758125303,0.2936553965712663,-0.2683212540211356,0.03351241779731362,0.10347121539290972,0.0034712153929097184,0.015020484772056331,1.6818505215704587,0.5475938895725851
P1 1x,EEM,EEM,E4 Yang-Zhang EWMA,trend,2009-04-17,4373,0.29156945944018864,0.3443069471155202,-0.18205841789458244,0.03409777167252792,0.07720800811280283,0.022791991887197174,0.058745402694903595,2.1764867444557,0.3198262723397734
P1 1x,TLT,TLT,E0 EWMA c2c,none,2008-08-01,4551,0.18488517550794084,0.19627515502628617,-0.31151610212473757,0.02751262954247302,0.09952813791900418,0.0004718620809958246,0.010745015536489473,1.7188336726968607,0.7325415452203228
P1 1x,TLT,TLT,E0 EWMA c2c,trend,2008-08-01,4551,0.14174175575484327,0.22182308992792604,-0.16394941708205346,0.021188164075422566,0.06727818629098624,0.03272181370901377,0.06959017254469026,2.0424424993744528,0.31145707892545227
P1 1x,TLT,TLT,E1 Yang-Zhang 21,none,2008-08-01,4551,0.1484105713374493,0.15499752433580372,-0.34300199680189314,0.024047698383983684,0.10499848094034621,0.004998480940346203,0.013274215347395627,1.6049545641089005,0.7689475320516842
P1 1x,TLT,TLT,E1 Yang-Zhang 21,trend,2008-08-01,4551,0.1319637497813697,0.21103473350412888,-0.17627892466660156,0.020708391003946502,0.07025258377150166,0.029747416228498344,0.06934093289453784,2.030490209667569,0.32519714484516277
P1 1x,TLT,TLT,E2 Parkinson EWMA,none,2008-08-01,4551,0.15059828371105397,0.13117949189921932,-0.42556309895899935,0.025103717452904073,0.12871956374777194,0.02871956374777193,0.035756955975213466,0.6837611851224429,0.915123185616676
P1 1x,TLT,TLT,E2 Parkinson EWMA,trend,2008-08-01,4551,0.16250961782594286,0.2044291502245128,-0.21054737365849874,0.02429778695824325,0.08643662459067022,0.013563375409329781,0.07141768492807722,1.8831141313660213,0.390109552431507
P1 1x,TLT,TLT,E3 K-ATR fast,none,2008-08-01,4551,0.12622936011036112,0.11304881067961131,-0.42850508700065293,0.02188259049454544,0.12128663341692567,0.02128663341692566,0.026760972300178498,6.791193829625332,0.8797678094398269
P1 1x,TLT,TLT,E3 K-ATR fast,trend,2008-08-01,4551,0.11636698963869954,0.1707656201394583,-0.2134288336153466,0.020072516647855254,0.081966059954264,0.01803394004573601,0.07004581067215344,4.77411342367693,0.3784618079578137
P1 1x,TLT,TLT,E4 Yang-Zhang EWMA,none,2008-08-01,4551,0.16276149414852864,0.17128689933047775,-0.337452741255476,0.025472857788336967,0.10302325398453542,0.003023253984535415,0.013910004166648404,1.187841613937435,0.7549651205711833
P1 1x,TLT,TLT,E4 Yang-Zhang EWMA,trend,2008-08-01,4551,0.1531985148255915,0.231609549232876,-0.17227910324578766,0.022071145607043263,0.06837232752928976,0.031627672470710244,0.06969500814951432,1.8220261336298016,0.316304736754705
P1 1x,GLD,GLD,E0 EWMA c2c,none,2010-11-22,3969,0.4384049190270742,0.31771071397335704,-0.35147966204203984,0.05617674212470525,0.10123789203826875,0.0012378920382687397,0.012611348968517382,2.1619075284003153,0.6884676761590471
P1 1x,GLD,GLD,E0 EWMA c2c,trend,2010-11-22,3969,0.4450165418512573,0.45305108003311967,-0.21986933957346744,0.04704241738666637,0.07501039067871229,0.024989609321287715,0.05931484988908315,2.552577821195183,0.35977000421596933
P1 1x,GLD,GLD,E1 Yang-Zhang 21,none,2010-11-22,3969,0.4380429675849115,0.32144673459316797,-0.35278650663740674,0.058234911480203655,0.10720166590104607,0.007201665901046067,0.017920457562318096,1.9682388830722286,0.717651719367928
P1 1x,GLD,GLD,E1 Yang-Zhang 21,trend,2010-11-22,3969,0.4380356383013393,0.4075001444875743,-0.24017773208733706,0.048147012611539974,0.07939086063717837,0.020609139362821632,0.05926373852137165,2.6810767523036794,0.3783280637386515
P1 1x,GLD,GLD,E2 Parkinson EWMA,none,2010-11-22,3969,0.4871120324122099,0.38270925059817573,-0.41026365145233123,0.0762961347435216,0.13928254045925778,0.039282540459257775,0.046225244513931084,0.966395013818633,0.9077383928559569
P1 1x,GLD,GLD,E2 Parkinson EWMA,trend,2010-11-22,3969,0.4729758806516887,0.4081727955863218,-0.25870259894027103,0.06096888291546687,0.10402661617494985,0.004026616174949843,0.06578225995132747,2.511392929029722,0.4741874270286616
P1 1x,GLD,GLD,E3 K-ATR fast,none,2010-11-22,3969,0.36390203518372954,0.23304757547643196,-0.45331786855456424,0.056054819777641596,0.1312207047751259,0.031220704775125896,0.03656088546671528,8.780797962451917,0.8758333564409139
P1 1x,GLD,GLD,E3 K-ATR fast,trend,2010-11-22,3969,0.4071557464034544,0.34541252727580085,-0.2638846671045937,0.05135244565947805,0.09663670275030047,0.00336329724969954,0.062133472096397024,6.4574663322891555,0.4578785987396329
P1 1x,GLD,GLD,E4 Yang-Zhang EWMA,none,2010-11-22,3969,0.4646805935758989,0.3522290178242497,-0.34793491031159807,0.05990316640376414,0.10363757393138313,0.0036375739313831285,0.016609421885703576,1.3955569223687216,0.697406579178949
P1 1x,GLD,GLD,E4 Yang-Zhang EWMA,trend,2010-11-22,3969,0.4559290030319447,0.43219369709963035,-0.22238143946783628,0.04830367082464071,0.07603231198970047,0.02396768801029954,0.059325192152121044,2.3536111795575536,0.3632761663949873
