vehicle,arm,episode,Sharpe,Martin,MaxDD,Turnover/yr,Flips/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 EDC,G_own,X_2020_covid,1.50865756439614,,-0.17326470146946427,,,modern_folds,0.34833731765301934,2020-02-12,2020-06-11,2020-03-02,-0.13352697585170292,84.0,0.49764782900355903,P2
P2 EDC,G_own,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,G_own,E2011_eu_us,-2.104921419555227,,-0.32299829384774403,,,market_factor_A0_calendar,-0.3155259740371603,2011-05-02,2011-09-22,2011-08-05,-0.2130271858239694,101.0,0.5109390665519562,P2
P2 EDC,G_own,E2015_16_china,0.2847280415840026,,-0.04731898268500867,,,market_factor_A0_calendar,0.012536221240589951,2015-06-01,2016-03-15,,-0.04731898268500867,200.0,0.0,P2
P2 EDC,G_own,K2013_14_bull,-1.0015058225419704,,-0.26576798421354575,,,calm_controls,-0.2228854335236402,2013-01-02,2013-06-12,2013-01-04,-0.013251566267424297,112.0,0.8637093151852135,P2
P2 EDC,G_own,A_bull_2021,-0.4772370296467237,,-0.3042949660122639,,,calm_controls,-0.16432900580379883,2021-02-17,2021-11-29,2021-11-29,-0.3042949660122639,199.0,0.4566302884392336,P2
P2 EDC,G_own,D_recent_2025plus,1.0688292167204236,,-0.2129446956080746,,,calm_controls,0.7224140268057935,2025-02-20,2025-04-08,2025-03-06,-0.09853143432472078,34.0,0.6793319057717853,P2
P2 EDC,G_spy,FULL,0.24967970600929743,0.15077525175349568,-0.4775872420009325,3.664845273414623,,,,,,,,,,P2
P2 EDC,G_spy,E_bear_2018q4,,,0.0,,,modern_folds,0.012274106120414352,2018-09-04,2018-09-04,,0.0,1.0,0.0,P2
P2 EDC,G_spy,X_2020_covid,1.6643479953604898,,-0.15789881170401177,,,modern_folds,0.38392952396350477,2020-02-12,2020-06-11,2020-02-25,-0.10613882936419283,84.0,0.49764782900355903,P2
P2 EDC,G_spy,B_bear_2022,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 EDC,G_spy,E2011_eu_us,-2.095478908446471,,-0.3232574707359124,,,market_factor_A0_calendar,-0.31279676791273325,2011-05-02,2011-09-22,2011-06-02,-0.11204074866760161,101.0,0.5109390665519562,P2
P2 EDC,G_spy,E2015_16_china,0.2847280415840026,,-0.04731898268500867,,,market_factor_A0_calendar,0.012536221240589951,2015-06-01,2016-03-15,,-0.04731898268500867,200.0,0.0,P2
P2 EDC,G_spy,K2013_14_bull,-1.0112503004249263,,-0.26462732250281207,,,calm_controls,-0.21896032494279993,2013-01-10,2013-06-12,2013-03-18,-0.13746675407220466,106.0,0.7141397030006891,P2
P2 EDC,G_spy,A_bull_2021,-0.49110540706869893,,-0.30467713813631725,,,calm_controls,-0.16788215477667223,2021-02-17,2021-11-29,2021-11-29,-0.30467713813631725,199.0,0.4566302884392336,P2
P2 EDC,G_spy,D_recent_2025plus,1.1454710940315127,,-0.206557613206246,,,calm_controls,0.771705678093394,2026-02-25,2026-03-30,,-0.206557613206246,24.0,0.6381067210925164,P2
P2 EDC,buy_hold,FULL,0.32622254574002024,0.01574754211776493,-0.9253989466236929,0.0,,,,,,,,,,P2
P2 EDC,buy_hold,E_bear_2018q4,-0.0640530803088728,,-0.3364287609445479,,,modern_folds,-0.09914417379855278,2018-09-21,2018-10-29,,-0.3364287609445479,27.0,1.0,P2
P2 EDC,buy_hold,X_2020_covid,0.8218414915763659,,-0.7453335073750164,,,modern_folds,0.3065875741492321,2020-02-12,2020-03-23,,-0.7453335073750164,28.0,1.0,P2
P2 EDC,buy_hold,B_bear_2022,-0.9846437018978847,,-0.7444803446418957,,,modern_folds,-0.6023841859061418,2022-01-12,2022-10-24,,-0.7444803446418957,197.0,1.0,P2
P2 EDC,buy_hold,E2011_eu_us,-0.9209058282630997,,-0.7199744633309392,,,market_factor_A0_calendar,-0.6619163845366505,2011-05-02,2011-10-03,,-0.7199744633309392,108.0,1.0,P2
P2 EDC,buy_hold,E2015_16_china,-0.6886104360706382,,-0.6946556093066112,,,market_factor_A0_calendar,-0.47824581650317377,2015-06-02,2016-01-20,,-0.6946556093066112,161.0,1.0,P2
P2 EDC,buy_hold,K2013_14_bull,-0.19082090823724582,,-0.4937790436216457,,,calm_controls,-0.37026447462473167,2013-01-02,2014-12-16,,-0.4937790436216457,494.0,1.0,P2
