date,SPY,FCNTX
2022-03-23,564.6342547,31.69091761
2022-03-24,573.1457535,32.20981075
2022-03-25,575.9447516,32.30590207
2022-03-28,580.041467,32.5557395
2022-03-29,587.2170804,32.90166826
2022-03-30,583.5911056,32.65183082
2022-03-31,574.6088662,32.09450116
2022-04-01,576.2373742,32.19059248
2022-04-04,581.173789,32.57495776
2022-04-05,573.8327803,32.0752829
2022-04-06,568.0948342,31.5371715
2022-04-07,570.9574459,31.63326282
2022-04-08,569.4307197,31.51795324
2022-04-11,559.6978399,30.92218705
2022-04-12,557.6240367,30.7876592
2022-04-13,564.0108415,31.15280622
2022-04-14,556.9879008,30.67234961
2022-04-18,557.2169097,30.71078614
2022-04-19,566.2118718,31.19124274
2022-04-20,565.7920221,30.80687746
2022-04-21,557.3314142,30.05736516
2022-04-22,542.0387064,29.17332501
2022-04-25,545.1812179,29.4423807
2022-04-26,529.392324,28.55834055
2022-04-27,530.8808821,28.53912229
2022-04-28,544.2906276,29.59612682
2022-04-29,524.1760093,28.38537618
2022-05-02,527.3312436,28.63521361
2022-05-03,529.7485601,28.71208667
2022-05-04,545.8809674,29.57690855
2022-05-05,526.4788214,28.28928485
2022-05-06,523.3363099,28.03944742
2022-05-09,506.5804894,27.02087942
2022-05-10,507.7509795,27.17462553
2022-05-11,499.6847759,26.6557324
2022-05-12,499.1631444,26.59807761
2022-05-13,511.0970545,27.34758991
2022-05-16,509.0232514,27.25149859
2022-05-17,519.4940489,27.78960999
2022-05-18,498.5524539,26.67495066
2022-05-19,495.4990015,26.61729587
2022-05-20,495.7152877,26.63651414
2022-05-23,504.9901496,27.09775248
2022-05-24,501.1351658,26.6557324
2022-05-25,505.5626719,26.90556983
2022-05-26,515.6645106,27.48211776
2022-05-27,528.3236156,28.15475701
2022-05-31,525.3592222,28.02022916
2022-06-01,521.1098341,27.86648304
2022-06-02,531.0335547,28.51990402
2022-06-03,522.3184924,28.02022916
2022-06-06,523.9088323,28.15475701
2022-06-07,528.9343061,28.38537618
2022-06-08,523.1836373,28.13553874
2022-06-09,510.7408184,27.36680817
2022-06-10,495.9315739,26.52120455
2022-06-13,477.1019503,25.42576349
2022-06-14,475.664283,25.34889044
2022-06-15,482.4454921,25.79091051
2022-06-16,466.4784802,24.92608863
2022-06-17,467.4795927,25.04139821
2022-06-21,479.24772,25.54107308
2022-06-22,478.3788463,25.46420002
2022-06-23,483.0682087,25.67560093
2022-06-24,498.4268287,26.54042282
2022-06-27,496.5229731,26.44433149
2022-06-28,486.3775952,25.84856531
2022-06-29,485.981491,25.86778357
2022-06-30,482.0332268,25.56029134
2022-07-01,487.1314709,25.75247398
2022-07-05,488.0514548,25.96387489
2022-07-06,489.6997592,26.09840274
2022-07-07,497.0340753,26.54042282
2022-07-08,496.6251935,26.54042282
2022-07-11,490.9519595,26.117621
2022-07-12,486.6075911,25.81012878
2022-07-13,484.0520803,25.73325572
2022-07-14,482.8765454,25.57950961
2022-07-15,492.1019394,26.13683927
2022-07-18,488.0386772,25.98309315
2022-07-19,501.225113,26.75182372
2022-07-20,504.4195015,27.05931595
2022-07-21,509.5560782,27.28993512
2022-07-22,504.8283832,26.79026025
2022-07-25,505.4417058,26.80947851
2022-07-26,499.4618105,26.32902191
2022-07-27,512.4310279,27.21306206
2022-07-28,518.8581376,27.38602644
2022-07-29,526.4224496,27.88570131
2022-08-01,524.863588,27.75117346
2022-08-02,521.4008708,27.61664561
2022-08-03,529.5657279,28.07788395
2022-08-04,529.2079564,28.13553874
2022-08-05,528.3135276,28.11632048
2022-08-08,527.700205,28.11632048
2022-08-09,525.6046861,27.96257436
2022-08-10,536.6444928,28.61599535
2022-08-11,536.6444928,28.53912229
2022-08-12,545.7293338,29.03879716
2022-08-15,547.9781833,29.11567021
2022-08-16,549.0514978,29.15410674
2022-08-17,545.1543438,28.90426931
2022-08-18,546.7387605,29.00036063
2022-08-19,539.391667,28.53912229
2022-08-22,528.1601969,27.90491957
2022-08-23,526.8824415,27.86648304
2022-08-24,528.5690787,27.98179263
2022-08-25,536.0311702,28.44303097
2022-08-26,517.8870435,27.4628995
2022-08-29,514.462659,27.25149859
2022-08-30,508.8149801,26.94400636
2022-08-31,504.9433812,26.77104199
2022-09-01,506.5277979,26.80947851
2022-09-02,501.1867803,26.54042282
2022-09-06,499.2957023,26.3866767
2022-09-07,508.2655453,26.79026025
2022-09-08,511.5877093,27.05931595
2022-09-09,519.535348,27.53977255
2022-09-12,525.1191391,27.78960999
2022-09-13,502.28565,26.50198629
2022-09-14,504.2022831,26.59807761
2022-09-15,498.4779389,26.30980365
2022-09-16,494.6911829,26.07918448
2022-09-19,498.5274902,26.27136712
2022-09-20,492.8051055,26.00231142
2022-09-21,484.2086978,25.52185481
2022-09-22,480.1414423,25.42576349
2022-09-23,472.0967444,24.96452515
2022-09-26,467.4264573,24.73390598
2022-09-27,466.2332246,24.75312425
2022-09-28,475.4070028,25.32967217
2022-09-29,465.4762275,24.86843383
2022-09-30,458.2783399,24.58015987
2022-10-03,470.3774629,25.25279912
2022-10-04,484.9528645,25.96387489
2022-10-05,483.823784,25.94465663
2022-10-06,478.8327354,25.81012878
2022-10-07,465.4762275,25.06061647
2022-10-10,461.9221903,24.84921557
2022-10-11,458.9968456,24.6185964
2022-10-12,457.4828514,24.58015987
2022-10-13,469.5563135,25.1567078
2022-10-14,458.8557105,24.58015987
2022-10-17,470.6469025,25.27201738
2022-10-18,476.1768304,25.50263655
2022-10-19,472.8024196,25.38732697
2022-10-20,468.8378078,25.27201738
2022-10-21,480.2312555,25.86778357
2022-10-24,486.1076058,26.09840274
2022-10-25,493.8700336,26.48276802
2022-10-26,490.1492004,26.07918448
2022-10-27,487.5317867,25.52185481
2022-10-28,499.1305218,25.98309315
2022-10-31,495.5251628,25.73325572
2022-11-01,493.3568152,25.56029134
2022-11-02,480.9754221,24.90687036
2022-11-03,476.0228649,24.6185964
2022-11-04,482.8743301,24.92608863
2022-11-07,487.4932954,25.25279912
2022-11-08,490.1235395,25.40654523
2022-11-09,480.0259681,24.90687036
2022-11-10,506.4053922,26.25214885
2022-11-11,511.3066275,26.48276802
2022-11-14,506.9571019,26.32902191
2022-11-15,511.2809666,26.54042282
2022-11-16,507.380507,26.29058538
2022-11-17,505.8280215,26.23293059
2022-11-18,508.1246737,26.30980365
2022-11-21,506.2770876,26.117621
2022-11-22,513.0900614,26.52120455
2022-11-23,516.3233371,26.63651414
2022-11-25,516.2078629,26.61729587
2022-11-28,507.9707082,26.25214885
2022-11-29,507.0982369,26.19449406
2022-11-30,523.0721586,27.07853421
