vehicle,arm,episode,Sharpe,CAGR,Martin,MaxDD,MeanW,Turnover/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P2 TNA,H_parity,E2011_eu_us,-1.3525877803552444,,,-0.15264442596859318,,,market_factor_A0_calendar,-0.12178166858941908,2011-05-10,2011-10-03,2011-08-05,-0.11320917187686386,102.0,0.31377315751052903,P2
P2 TNA,H_parity,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P2
P2 TNA,H_parity,K2013_14_bull,0.8305396994827821,,,-0.09013042664840654,,,calm_controls,0.22184314301244967,2014-01-22,2014-05-15,,-0.09013042664840654,80.0,0.4275311177025775,P2
P2 TNA,H_parity,A_bull_2021,0.47622797912593456,,,-0.09325655931954324,,,calm_controls,0.05935815356063445,2021-11-08,2021-12-01,,-0.09325655931954324,17.0,0.2751338357500053,P2
P2 TNA,H_parity,D_recent_2025plus,0.649704205560404,,,-0.0807198877462123,,,calm_controls,0.2050654367302105,2026-01-22,2026-03-31,2026-03-31,-0.0807198877462123,48.0,0.3134937854661042,P2
P2 TNA,H_full,FULL,0.33437725765432613,0.060243670508311586,0.40337854876559526,-0.3196864383158564,0.26456064707696325,3.22429822044108,,,,,,,,,P2
P2 TNA,H_full,E_bear_2018q4,-2.006244090708536,,,-0.110395638771287,,,modern_folds,-0.08191881942259305,2018-09-04,2018-10-10,2018-10-10,-0.110395638771287,27.0,0.7121320868053073,P2
P2 TNA,H_full,X_2020_covid,0.6637555595711084,,,-0.21143429378135625,,,modern_folds,0.09467178784355279,2020-02-20,2020-09-23,2020-02-27,-0.1586514351524132,151.0,0.6154469636084073,P2
P2 TNA,H_full,B_bear_2022,,,,0.0,,,modern_folds,0.012881409782865116,2022-01-03,2022-01-03,,0.0,1.0,0.0,P2
P2 TNA,H_full,E2011_eu_us,-1.6102193484071132,,,-0.25279151269969036,,,market_factor_A0_calendar,-0.22768273167692,2011-05-02,2011-10-03,2011-06-09,-0.12168257423385975,108.0,0.6713866184667658,P2
P2 TNA,H_full,E2015_16_china,,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P2
P2 TNA,H_full,K2013_14_bull,0.7771491835948758,,,-0.1741252270997118,,,calm_controls,0.38077036251606056,2014-01-22,2014-05-15,2014-02-04,-0.1453651508585586,80.0,0.855062235405155,P2
P2 TNA,H_full,A_bull_2021,0.3777829894858308,,,-0.16827382555006565,,,calm_controls,0.06716478385099345,2021-11-08,2021-12-01,,-0.16827382555006565,17.0,0.5502676715000104,P2
P2 TNA,H_full,D_recent_2025plus,0.560333953357509,,,-0.1580345173943286,,,calm_controls,0.2682520335846825,2025-10-06,2026-03-31,2025-11-18,-0.10024923095748928,122.0,0.5786560641354058,P2
P2 TNA,buy_hold,FULL,0.49468535443424017,0.11436998420245659,0.2705283557505206,-0.8808746736292428,1.0,0.0,,,,,,,,,P2
P2 TNA,buy_hold,E_bear_2018q4,-0.9468419252297239,,,-0.6283858181017392,,,modern_folds,-0.3135335073977359,2018-09-04,2018-12-24,,-0.6283858181017392,78.0,1.0,P2
P2 TNA,buy_hold,X_2020_covid,0.6726803792203456,,,-0.8480432972522898,,,modern_folds,0.02033626901521224,2020-02-20,2020-03-23,,-0.8480432972522898,23.0,1.0,P2
P2 TNA,buy_hold,B_bear_2022,-0.7653522393924548,,,-0.6751184834123222,,,modern_folds,-0.6248159057437407,2022-01-03,2022-09-26,,-0.6751184834123222,184.0,1.0,P2
P2 TNA,buy_hold,E2011_eu_us,-0.4404083974345905,,,-0.6956726246472249,,,market_factor_A0_calendar,-0.5268425841674249,2011-05-10,2011-10-03,,-0.6956726246472249,102.0,1.0,P2
P2 TNA,buy_hold,E2015_16_china,-0.5541254491275289,,,-0.6264649477945878,,,market_factor_A0_calendar,-0.3395593869731801,2015-06-23,2016-02-11,,-0.6264649477945878,162.0,1.0,P2
P2 TNA,buy_hold,K2013_14_bull,1.2717398088405922,,,-0.35796019900497467,,,calm_controls,1.5936657681940756,2014-03-04,2014-10-13,,-0.35796019900497467,156.0,1.0,P2
